H,B,t1,t2,r1,r2,A,wt,Cx,Cy,Ix,Iy,rx,ry,Zx,Zy
75.00,40.00,5.00,7.00,8.00,4.00,17.64,13.84,0.00,1.28,150.60,53.29,2.92,1.74,40.16,13.32
100.00,59.00,5.00,7.50,8.00,4.00,23.84,18.72,0.00,1.54,376.00,108.54,3.97,2.13,75.20,18.40
125.00,65.00,6.00,8.00,8.00,4.00,34.22,26.80,0.00,1.90,848.00,247.13,4.98,2.69,135.68,38.02
150.00,75.00,6.50,10.00,10.00,5.00,47.42,37.20,0.00,2.28,1722.00,480.51,6.03,3.18,229.60,64.07
150.00,75.00,9.00,12.50,15.00,7.50,61.18,48.00,0.00,2.31,2100.00,620.46,5.86,3.18,280.00,82.73
180.00,75.00,7.00,10.50,11.00,5.50,54.40,42.80,0.00,2.13,2760.00,508.81,7.12,3.06,306.67,67.84
200.00,80.00,7.50,11.00,12.00,6.00,62.66,49.20,0.00,2.21,3900.00,642.04,7.89,3.20,390.00,80.25
200.00,90.00,8.00,13.50,14.00,7.00,77.30,60.60,0.00,2.74,4980.00,1134.34,8.03,3.83,498.00,126.04
250.00,90.00,9.00,13.00,14.00,7.00,88.14,69.20,0.00,2.40,8360.00,1095.69,9.74,3.53,668.80,121.74
250.00,90.00,11.00,14.50,17.00,8.50,102.34,80.40,0.00,2.40,9360.00,1247.48,9.56,3.49,748.80,138.61
300.00,90.00,9.00,13.00,14.00,7.00,97.14,76.20,0.00,2.22,12880.00,1096.74,11.51,3.36,858.67,121.86
300.00,90.00,10.00,15.50,19.00,9.50,111.48,87.60,0.00,2.34,14820.00,1330.42,11.53,3.45,988.00,147.82
300.00,90.00,12.00,16.00,19.00,9.50,123.80,97.20,0.00,2.28,15740.00,1401.56,11.28,3.36,1049.33,155.73
380.00,100.00,10.50,16.00,18.00,9.00,126.78,109.00,0.00,2.41,29000.00,1806.35,15.12,3.77,1526.32,180.64
380.00,100.00,13.00,16.50,18.00,9.00,157.92,124.00,0.00,2.33,31200.00,1987.33,14.06,3.55,1642.11,198.73
380.00,100.00,13.00,20.00,24.00,12.00,171.42,134.60,0.00,2.54,35200.00,2415.93,14.33,3.75,1852.63,241.59
