AxB,x,t,r1,r2,A,wt,Cx,Cy,Ix,Iy,rx,ry,Zx,Zy
25x25,25.00,3.00,4.00,2.00,2.85,2.24,0.72,0.72,1.59,3.65,0.75,1.13,0.90,1.46
25x25,25.00,5.00,3.50,2.40,4.52,3.54,0.80,0.80,2.40,6.02,0.73,1.15,1.41,2.41
30x30,30.00,3.00,4.00,2.00,3.45,2.72,0.84,0.84,2.84,5.76,0.91,1.29,1.32,1.92
30x30,30.00,5.00,5.00,2.40,5.56,4.36,0.92,0.92,4.32,9.44,0.88,1.30,2.08,3.15
40x40,40.00,3.00,4.50,2.00,4.67,3.66,1.09,1.09,7.06,12.15,1.23,1.61,2.43,3.04
40x40,40.00,5.00,4.50,3.00,7.51,5.90,1.17,1.17,10.84,19.63,1.20,1.62,3.83,4.91
40x40,40.00,6.00,6.00,2.40,8.96,7.04,1.20,1.20,12.62,23.37,1.19,1.62,4.51,5.84
45x45,45.00,4.00,6.50,3.00,6.98,5.48,1.24,1.24,13.00,21.66,1.36,1.76,3.99,4.81
45x45,45.00,5.00,6.50,3.00,8.60,6.76,1.28,1.28,15.82,26.83,1.36,1.77,4.91,5.96
50x50,50.00,3.00,7.00,2.40,5.92,4.66,1.31,1.31,13.72,21.48,1.52,1.90,3.72,4.30
50x50,50.00,4.00,6.50,3.00,7.78,6.12,1.37,1.37,18.12,28.78,1.53,1.92,4.99,5.76
50x50,50.00,5.00,6.50,3.00,9.60,7.54,1.41,1.41,22.20,35.74,1.52,1.93,6.18,7.15
50x50,50.00,6.00,6.50,4.50,11.29,8.86,1.44,1.44,25.20,41.45,1.49,1.92,7.08,8.29
60x60,60.00,4.00,6.50,3.00,9.38,7.36,1.61,1.61,32.00,47.11,1.85,2.24,7.29,7.85
60x60,60.00,5.00,6.50,3.00,11.60,9.10,1.66,1.66,39.20,58.46,1.84,2.24,9.03,9.74
65x65,65.00,5.00,8.50,3.00,12.73,10.00,1.77,1.77,50.60,73.14,1.99,2.40,10.70,11.25
65x65,65.00,6.00,8.50,4.00,15.05,11.82,1.81,1.81,58.80,86.05,1.98,2.39,12.54,13.24
65x65,65.00,8.00,8.50,6.00,19.52,15.32,1.88,1.88,73.60,110.30,1.94,2.38,15.93,16.97
70x70,70.00,6.00,8.50,4.00,16.25,12.76,1.93,1.93,74.20,105.57,2.14,2.55,14.64,15.08
75x75,75.00,6.00,8.50,4.00,17.45,13.70,2.06,2.06,92.20,128.16,2.30,2.71,16.95,17.09
75x75,75.00,9.00,8.50,6.00,25.38,19.92,2.17,2.17,128.80,183.87,2.25,2.69,24.17,24.52
75x75,75.00,12.00,8.50,6.00,33.12,26.00,2.29,2.29,163.80,239.64,2.22,2.69,31.44,31.95
80x80,80.00,6.00,8.50,4.00,18.65,14.64,2.18,2.18,112.80,153.47,2.46,2.87,19.38,19.18
90x90,90.00,6.00,10.00,5.00,21.10,16.56,2.42,2.42,161.40,212.46,2.77,3.17,24.53,23.61
90x90,90.00,7.00,10.00,5.00,24.44,19.18,2.46,2.46,186.00,246.12,2.76,3.17,28.44,27.35
90x90,90.00,10.00,10.00,7.00,34.00,26.60,2.57,2.57,250.00,337.38,2.71,3.15,38.88,37.49
90x90,90.00,12.00,11.00,4.80,40.60,31.80,2.66,2.66,296.00,404.00,2.70,3.15,46.69,44.89
90x90,90.00,13.00,10.00,7.00,43.42,34.00,2.69,2.69,312.00,428.80,2.68,3.14,49.45,47.64
100x100,100.00,7.00,10.00,5.00,27.24,21.40,2.71,2.71,258.00,331.82,3.08,3.49,35.39,33.18
100x100,100.00,10.00,10.00,7.00,38.00,29.80,2.82,2.82,350.00,457.16,3.03,3.47,48.75,45.72
100x100,100.00,12.00,12.00,4.80,45.40,35.60,2.90,2.90,414.00,545.66,3.02,3.47,58.31,54.57
100x100,100.00,13.00,10.00,7.00,48.62,38.20,2.94,2.94,440.00,582.94,3.01,3.46,62.32,58.29
120x120,120.00,8.00,12.00,5.00,37.52,29.40,3.24,3.24,516.00,637.56,3.71,4.12,58.90,53.13
130x130,130.00,9.00,12.00,6.00,45.48,35.80,3.53,3.53,732.00,892.54,4.01,4.43,77.30,68.66
130x130,130.00,12.00,12.00,8.50,59.52,46.80,3.64,3.64,934.00,1150.65,3.96,4.40,99.79,88.51
130x130,130.00,15.00,12.00,8.50,73.50,57.60,3.76,3.76,1136.00,1412.36,3.93,4.38,122.94,108.64
150x150,150.00,12.00,14.00,7.00,69.54,54.60,4.14,4.14,1480.00,1767.90,4.61,5.04,136.28,117.86
150x150,150.00,15.00,14.00,10.00,85.48,67.20,4.24,4.24,1776.00,2138.44,4.56,5.00,165.06,142.56
150x150,150.00,19.00,14.00,10.00,106.76,83.80,4.40,4.40,2180.00,2649.74,4.52,4.98,205.66,176.65
175x175,175.00,12.00,15.00,11.00,81.04,63.60,4.73,4.73,2340.00,2723.32,5.37,5.80,183.24,155.62
175x175,175.00,15.00,15.00,11.00,100.42,78.80,4.85,4.85,2880.00,3367.04,5.36,5.79,227.67,192.40
200x200,200.00,15.00,17.00,12.00,115.50,90.60,5.46,5.46,4360.00,4990.63,6.14,6.57,299.86,249.53
200x200,200.00,20.00,17.00,12.00,152.00,119.40,5.67,5.67,5640.00,6501.84,6.09,6.54,393.58,325.09
200x200,200.00,25.00,17.00,12.00,187.50,147.20,5.86,5.86,6840.00,7938.75,6.04,6.51,483.73,396.94
250x250,250.00,25.00,24.00,12.00,238.80,187.40,7.10,7.10,13900.00,15595.48,7.63,8.08,776.54,623.82
250x250,250.00,35.00,24.00,18.00,325.20,256.00,7.45,7.45,18220.00,20642.74,7.49,7.97,1038.18,825.71
