AxB,x,t,r1,r2,A,wt,Cx,Cy,Ix,Iy,ix,iy,rx,ry,ru,rv,Zx,Zy
25x25,25.00,3.00,4.00,2.00,1.43,1.12,0.72,0.72,0.80,0.80,1.26,0.33,0.75,0.75,0.94,0.48,0.45,0.45
25x25,25.00,5.00,3.50,2.40,2.26,1.77,0.80,0.80,1.20,1.20,1.89,0.52,0.73,0.73,0.91,0.48,0.71,0.71
30x30,30.00,3.00,4.00,2.00,1.73,1.36,0.84,0.84,1.42,1.42,2.26,0.59,0.91,0.91,1.14,0.59,0.66,0.66
30x30,30.00,5.00,5.00,2.40,2.78,2.18,0.92,0.92,2.16,2.16,3.41,0.92,0.88,0.88,1.11,0.57,1.04,1.04
40x40,40.00,3.00,4.50,2.00,2.34,1.83,1.09,1.09,3.53,3.53,5.60,1.46,1.23,1.23,1.55,0.79,1.21,1.21
40x40,40.00,5.00,4.50,3.00,3.76,2.95,1.17,1.17,5.42,5.42,8.59,2.25,1.20,1.20,1.51,0.77,1.91,1.91
40x40,40.00,6.00,6.00,2.40,4.48,3.52,1.20,1.20,6.31,6.31,9.98,2.65,1.19,1.19,1.49,0.77,2.26,2.26
45x45,45.00,4.00,6.50,3.00,3.49,2.74,1.24,1.24,6.50,6.50,10.30,2.70,1.36,1.36,1.72,0.88,2.00,2.00
45x45,45.00,5.00,6.50,3.00,4.30,3.38,1.28,1.28,7.91,7.91,12.50,3.29,1.36,1.36,1.71,0.87,2.46,2.46
50x50,50.00,3.00,7.00,2.40,2.96,2.33,1.31,1.31,6.86,6.86,10.80,2.88,1.52,1.52,1.91,0.99,1.86,1.86
50x50,50.00,4.00,6.50,3.00,3.89,3.06,1.37,1.37,9.06,9.06,14.40,3.76,1.53,1.53,1.92,0.98,2.49,2.49
50x50,50.00,5.00,6.50,3.00,4.80,3.77,1.41,1.41,11.10,11.10,17.50,4.58,1.52,1.52,1.91,0.98,3.08,3.08
50x50,50.00,6.00,6.50,4.50,5.64,4.43,1.44,1.44,12.60,12.60,20.00,5.23,1.50,1.50,1.88,0.96,3.55,3.55
60x60,60.00,4.00,6.50,3.00,4.69,3.68,1.61,1.61,16.00,16.00,25.40,6.62,1.85,1.85,2.33,1.19,3.66,3.66
60x60,60.00,5.00,6.50,3.00,5.80,4.55,1.66,1.66,19.60,19.60,31.20,8.09,1.84,1.84,2.32,1.18,4.52,4.52
65x65,65.00,5.00,8.50,3.00,6.37,5.00,1.77,1.77,25.30,25.30,40.10,10.50,1.99,1.99,2.51,1.28,5.35,5.35
65x65,65.00,6.00,8.50,4.00,7.53,5.91,1.81,1.81,29.40,29.40,46.60,12.20,1.98,1.98,2.49,1.27,6.26,6.26
65x65,65.00,8.00,8.50,6.00,9.76,7.66,1.88,1.88,36.80,36.80,58.30,15.30,1.94,1.94,2.44,1.25,7.96,7.96
70x70,70.00,6.00,8.50,4.00,8.13,6.38,1.93,1.93,37.10,37.10,58.90,15.30,2.14,2.14,2.69,1.37,7.33,7.33
75x75,75.00,6.00,8.50,4.00,8.73,6.85,2.06,2.06,46.10,46.10,73.20,19.00,2.30,2.30,2.90,1.48,8.47,8.47
75x75,75.00,9.00,8.50,6.00,12.69,9.96,2.17,2.17,64.40,64.40,102.00,26.70,2.25,2.25,2.84,1.45,12.10,12.10
75x75,75.00,12.00,8.50,6.00,16.56,13.00,2.29,2.29,81.90,81.90,129.00,34.50,2.22,2.22,2.79,1.44,15.70,15.70
80x80,80.00,6.00,8.50,4.00,9.33,7.32,2.18,2.18,56.40,56.40,89.60,23.20,2.46,2.46,3.10,1.58,9.70,9.70
90x90,90.00,6.00,10.00,5.00,10.55,8.28,2.42,2.42,80.70,80.70,128.00,33.40,2.77,2.77,3.48,1.78,12.30,12.30
90x90,90.00,7.00,10.00,5.00,12.22,9.59,2.46,2.46,93.00,93.00,148.00,38.30,2.76,2.76,3.48,1.77,14.20,14.20
90x90,90.00,10.00,10.00,7.00,17.00,13.30,2.57,2.57,125.00,125.00,199.00,51.70,2.71,2.71,3.42,1.74,19.50,19.50
90x90,90.00,12.00,11.00,4.80,20.30,15.90,2.66,2.66,148.00,148.00,234.00,61.70,2.70,2.70,3.40,1.75,23.30,23.30
90x90,90.00,13.00,10.00,7.00,21.71,17.00,2.69,2.69,156.00,156.00,248.00,65.30,2.68,2.68,3.38,1.73,24.80,24.80
100x100,100.00,7.00,10.00,5.00,13.62,10.70,2.71,2.71,129.00,129.00,205.00,53.20,3.08,3.08,3.88,1.98,17.70,17.70
100x100,100.00,10.00,10.00,7.00,19.00,14.90,2.82,2.82,175.00,175.00,278.00,72.00,3.04,3.04,3.83,1.95,24.40,24.40
100x100,100.00,12.00,12.00,4.80,22.70,17.80,2.90,2.90,207.00,207.00,328.00,85.70,3.02,3.02,3.80,1.94,29.10,29.10
100x100,100.00,13.00,10.00,7.00,24.31,19.10,2.94,2.94,220.00,220.00,348.00,91.10,3.00,3.00,3.78,1.94,31.10,31.10
120x120,120.00,8.00,12.00,5.00,18.76,14.70,3.24,3.24,258.00,258.00,410.00,106.00,3.71,3.71,4.67,2.38,29.50,29.50
130x130,130.00,9.00,12.00,6.00,22.74,17.90,3.53,3.53,366.00,366.00,583.00,150.00,4.01,4.01,5.06,2.57,38.70,38.70
130x130,130.00,12.00,12.00,8.50,29.76,23.40,3.64,3.64,467.00,467.00,743.00,192.00,3.96,3.96,5.00,2.54,49.90,49.90
130x130,130.00,15.00,12.00,8.50,36.75,28.80,3.76,3.76,568.00,568.00,902.00,234.00,3.93,3.93,4.95,2.53,21.50,21.50
150x150,150.00,12.00,14.00,7.00,34.77,27.30,4.14,4.14,740.00,740.00,1180.00,304.00,4.16,4.16,5.82,2.96,68.10,68.10
150x150,150.00,15.00,14.00,10.00,42.74,33.60,4.24,4.24,888.00,888.00,1410.00,365.00,4.56,4.56,5.75,2.92,82.60,82.60
