NominalSize mm.,Wt.,H,B,tw,tf,r,A,Ix,Iy,rx,ry,Sx,Sy,Zx,Zy
100x100,17,100,100,6,8,10,22,383,134,4,2,77,27,84.184,40.756
125x125,24,125,125,7,9,10,30,847,293,5,3,136,47,150.53575,71.62325
150x75,14,150,75,5,7,8,18,666,50,6,2,89,13,98.195,20.5375
150x100,21,148,100,6,9,11,27,1020,151,6,2,138,30,150.45,46.17
150x150,32,150,150,7,10,11,40,1640,563,6,4,219,75,239.575,114.0925
175x175,40,175,175,8,11,12,51,2880,984,8,4,330,112,362.518,170.8855
175x175,18,198,99,5,7,11,23,1580,114,8,2,160,23,174.683,35.4535
200x100,21,200,100,6,8,11,27,1840,134,8,2,184,27,204.384,41.656
200x150,31,194,150,6,9,13,39,2690,507,8,4,227,68,296.214,102.834
200x200,50,200,200,8,12,13,64,4720,1600,9,5,472,160,513.152,242.816
200x200,56,200,204,12,12,13,72,4980,1700,8,5,498,167,553.152,256.032
200x200,66,208,202,10,16,13,84,6530,2200,9,5,628,218,697.984,330.832
200x200,26,248,124,5,8,12,33,3540,255,10,3,285,41,305.36,62.954
250x125,30,250,125,6,9,12,38,4050,294,10,3,324,47,351.861,72.4005
250x175,44,244,175,7,11,16,56,6120,984,10,4,502,113,534.772,171.157
250x175,64,244,252,11,11,16,82,8790,2940,10,6,720,233,781.407,355.9875
250x175,67,248,249,8,13,16,85,9930,3350,11,6,801,269,859.263,406.5585
250x250,72,250,250,9,14,16,92,10800,3650,11,6,867,292,936.889,441.9955
250x250,82,250,255,14,14,16,105,11500,3880,11,6,919,304,1015.014,466.053
250x250,32,298,149,6,8,13,41,6320,442,12,3,424,59,464.966,91.342
300x150,37,300,150,7,9,13,47,7210,508,12,3,481,68,532.017,104.7045
300x150,57,294,200,8,12,18,72,11300,1600,13,5,771,160,822.6,244.32
300x200,65,298,201,9,14,18,83,13300,1900,13,5,893,189,963.201,288.2745
300x200,85,294,302,12,12,18,108,16900,5520,13,7,1150,365,1240.668,556.944
300x200,87,298,299,9,14,18,111,18800,6240,13,8,1270,417,1352.849,631.2745
300x300,94,300,300,10,15,18,120,20400,6750,13,8,1360,450,1464.75,681.75
300x300,106,300,305,15,15,18,135,21500,7100,13,7,1440,466,1577.25,712.875
300x300,106,304,301,11,17,18,135,23400,7730,13,8,1540,514,1669.054,778.276
300x300,41,346,174,6,9,14,53,11100,792,15,4,641,91,689.118,139.194
350x175,50,350,175,7,11,14,63,13600,984,15,4,775,112,840.847,172.4555
350x175,58,354,176,8,13,14,74,16100,1180,15,4,909,134,995.376,206.592
350x175,69,336,249,8,12,20,88,18500,3090,15,6,1100,248,1162.8,376.998
350x250,80,340,250,9,14,20,102,21700,3650,15,6,1280,292,1360.024,443.818
350x250,106,338,351,13,13,20,135,28200,9380,14,8,1670,534,1799.343,813.9885
350x250,115,344,348,10,16,20,146,33300,11200,15,9,1940,646,2069.664,976.632
350x350,131,344,354,16,16,20,167,35300,11800,15,8,2050,669,2247.168,1022.496
350x350,137,350,350,12,19,20,174,40300,13600,15,9,2300,776,2493.182,1174.982
350x350,156,350,357,19,19,20,198,42800,11400,15,9,2450,809,2707.557,1238.9235
350x350,56,396,199,7,11,16,72,20000,1450,17,4,1010,145,1087.548,222.387
400x200,66,400,200,8,13,16,84,23700,1740,17,5,1190,174,1285.952,265.984
400x200,76,404,201,9,15,16,96,27500,2030,17,5,1360,202,1487.556,310.581
400x200,94,386,299,9,14,22,120,33700,6240,17,7,1740,418,1845.561,633.0565
400x300,107,390,300,10,16,22,136,38700,7210,17,7,1980,481,2115.61,728.95
400x300,140,388,402,15,15,22,179,49000,16300,17,10,2520,809,2729.805,1232.1675
400x300,147,394,398,11,18,22,187,56100,18900,17,10,2850,951,3046.115,1436.4655
400x300,168,394,405,18,18,22,214,59700,20000,17,10,3030,985,3317.778,1505.223
400x400,172,400,400,13,21,22,219,66600,22400,18,10,3330,1120,3600.133,1695.1255
400x400,197,400,408,21,21,22,251,70900,23800,17,10,3540,1170,3920.133,1787.3415
400x400,232,414,405,18,28,22,295,92800,31000,18,10,4480,1530,4953.978,2325.348
400x400,66,446,199,8,12,18,84,28700,1580,19,4,1290,159,1392.56,244.358
450x200,76,450,200,9,14,18,97,33500,1870,19,4,1490,187,1621.489,288.5455
450x200,89,456,201,10,17,18,113,40400,2310,19,5,1770,230,1945.273,353.9585
450x200,106,434,299,10,17,24,135,46800,6690,19,7,2160,448,2519.611,769.9085
450x300,124,440,300,11,18,24,157,56100,8110,19,7,2550,541,2727.644,822.221
450x300,145,446,302,13,21,24,184,66400,9660,19,7,2980,639,3225.802,974.711
450x300,80,496,199,9,14,20,101,41900,1840,20,4,1690,185,1835.656,286.684
500x200,90,500,200,10,16,20,114,47800,2140,21,4,1910,214,2096.36,331.7
500x200,103,506,201,11,19,20,131,56500,2580,21,4,2230,257,2462.169,397.9665
500x200,114,482,300,11,15,26,146,60400,6760,20,7,2500,451,2663.336,688.673
500x300,128,488,300,11,18,26,164,71000,8110,21,7,2910,541,3099.836,823.673
500x300,150,494,302,13,21,26,191,83800,9660,21,7,3390,640,3663.754,976.739
500x300,95,596,199,10,15,22,121,68700,1980,24,4,2310,199,2535.175,311.1575
500x300,106,600,200,11,17,22,134,77600,2280,24,4,2590,228,2863.179,357.1215
