hxb,h,b,t,Wt,A,Ix,Iy,Zx,Zy,rx,ry
50x25,50.00,25.00,2.00,2.12,2.70,8.17,2.76,3.27,2.20,1.74,1.01
50x25,50.00,25.00,2.30,2.44,3.10,9.31,3.10,3.72,2.48,1.68,0.96
50x25,50.00,25.00,3.20,3.24,4.13,11.60,3.80,4.65,3.04,1.68,0.96
50x25,50.00,25.00,3.60,3.48,4.44,11.70,3.86,4.70,3.09,1.63,0.93
775x38,5.00,38.00,2.30,3.81,4.85,34.60,12.00,9.23,6.30,2.67,1.57
75x38,75.00,38.00,3.20,5.15,5.15,45.00,15.40,12.00,8.09,2.62,1.53
75x45,75.00,45.00,1.60,2.88,3.67,28.40,12.90,7.56,5.75,2.78,1.88
75x45,75.00,45.00,2.30,4.06,5.17,38.90,17.60,10.40,7.82,2.74,1.84
75x45,75.00,45.00,3.20,5.50,7.01,50.80,22.80,13.50,10.10,2.69,1.80
100x50,100.00,50.00,2.00,4.48,5.70,74.10,25.50,14.80,10.20,3.61,2.11
100x50,100.00,50.00,2.30,5.14,6.55,84.80,29.00,17.00,11.60,3.60,2.10
100x50,100.00,50.00,3.20,7.01,8.93,112.00,38.00,22.50,15.20,3.55,2.06
100x50,100.00,50.00,3.60,7.72,9.84,121.00,40.90,24.10,16.30,3.50,2.04
100x50,100x50,100.00,50.00,4.00,8.59,10.95,142.00,46.70,28.40,18.70,3.55,2.03
100.00,50.00,4.50,9.55,12.17,147.00,48.90,29.30,19.50,3.47,2.00
125x75,125.00,75.00,2.30,6.95,8.85,192.00,87.50,30.60,23.30,4.65,3.14
125x75,125.00,75.00,3.20,9.52,12.13,257.00,117.00,41.10,31.10,4.60,3.10
125x75,125.00,75.00,4.00,11.70,14.95,311.00,141.00,49.70,37.50,4.56,3.07
125x75,125.00,75.00,4.50,13.10,16.67,342.00,155.00,54.80,41.20,4.53,3.04
125x75,125.00,75.00,6.00,17.00,21.63,428.00,192.00,68.50,51.10,4.45,2.98
150x50,150.00,50.00,3.20,9.63,12.13,314.92,55.71,42.61,22.61,5.16,2.17
150x50150.00,50.00,4.50,13.50,17.03,423.93,75.75,53.35,29.82,5.05,2.11
150x50150.00,50.00,6.30,18.77,22.84,536.98,93.65,72.76,36.87,4.93,2.03
200x100,200.00,100.00,4.50,20.10,25.67,1330.00,455.00,133.00,90.90,7.20,4.21
200x100,200.00,100.00,6.00,26.40,33.63,1700.00,577.00,170.00,115.00,,4.14
200x100,200.00,100.00,6.30,27.40,34.80,1739.00,591.00,174.00,118.00,,4.12
