h,b,t,Wt,A,Ix,Iy,Zx,Zy,rx,ry
mm,mm,mm,kg./m.,cm2,cm4,cm4,cm3,cm3,cm,cm
25,25,2,1.36,1.74,1.48,1.48,1.19,1.19,0.92,0.92
25,25,2.3,1.53,1.97,1.61,1.61,1.29,1.29,0.9,0.9
25,25,2.6,1.65,2.1,1.63,1.63,1.31,1.31,0.88,0.88
25,25,3.2,1.91,2.44,1.75,1.75,1.4,1.4,0.85,0.85
32,32,2.3,2.04,2.6,3.71,3.71,2.32,2.32,1.2,1.2
32,32,3.2,2.69,3.42,4.54,4.54,2.84,2.84,1.15,1.15
38,38,2.3,2.47,3.15,6.54,6.54,3.44,3.44,1.44,1.44
38,38,3.2,3.29,4.19,8.18,8.18,4.3,4.3,1.4,1.4
50,50,1.6,2.38,3.03,11.7,11.7,4.68,4.68,1.96,1.96
50,50,2,2.91,3.7,13.9,13.9,5.57,5.57,1.94,1.94
50,50,2.3,3.34,4.25,15.9,15.9,6.34,6.34,1.93,1.93
50,50,3.2,4.5,5.73,20.4,20.4,8.16,8.16,1.89,1.89
50,50,3.6,4.9,6.24,21.4,21.4,8.58,8.58,1.85,1.85
50,50,4,5.35,6.81,22.9,22.9,9.15,9.15,1.83,1.83
50,50,5,6.39,8.14,25.7,25.7,10.3,10.3,1.78,1.78
75,75,2.3,5.14,6.55,57.1,57.1,15.2,15.2,2.95,2.95
75,75,3.2,7.01,8.93,75.5,75.5,20.1,20.1,2.91,2.91
75,75,4,8.59,10.95,90.2,90.2,24.1,24.1,2.87,2.87
75,75,4.5,9.55,12.17,98.6,98.6,26.3,26.3,2.85,2.85
100,100,2.3,6.95,8.85,140,140,27.9,27.9,3.97,3.97
100,100,3.2,9.52,12.13,187,187,37.5,37.5,3.93,3.93
100,100,4,11.7,14.95,226,226,45.3,45.3,3.89,3.89
100,100,4.5,13.1,16.67,249,249,49.9,49.9,3.87,3.87
100,100,6,17,21.63,311,311,62.3,62.3,3.79,3.79
125,125,3.2,12,15.33,376,376,60.1,60.1,4.95,4.95
125,125,4.5,16.6,21.17,506,506,80.9,80.9,4.89,4.89
125,125,5,18.3,23.36,553,553,88.4,88.4,4.86,4.86
125,125,6,21.7,27.63,641,641,103,103,4.82,4.82
150,150,4.5,20.1,25.67,896,896,120,120,5.91,5.91
150,150,5,22.3,28.36,982,982,131,131,5.89,5.89
150,150,6,26.4,33.63,"1,150.00","1,150.00",153,153,5.84,5.84
150,150,6.3,27.4,34.8,"1,174.00","1,174.00",156,156,5.8,5.8
