Size,h,E,F,L,t,wt,A,Ix,Iy,Zx,Zy,rx,ry,Fy,Es
-,mm,mm,mm,mm,mm,kg/m,cm2,cm4,cm4,cm3,cm3,cm,cm,kg/cm2,kg/cm2
Z10010, 100, 50, 47, 12.5, 1.0, 1.78, 2.09, 33.53, 11.47, 6.61, 2.36, 4.01, 2.35, 4587, 2100000
Z10012, 100, 50, 47, 12.5, 1.2, 2.11, 2.49, 39.85, 13.53, 7.86, 2.79, 4.00, 2.33, 4587, 2100000
Z10015, 100, 50, 47, 13.5, 1.5, 2.64, 3.12, 49.50, 17.16, 9.76, 3.54, 3.98, 2.34, 4587, 2100000
Z10019, 100, 50, 47, 14.5, 1.9, 3.32, 3.96, 61.99, 21.85, 12.22, 4.53, 3.96, 2.35, 4587, 2100000
Z12512, 125, 55, 51, 13.5, 1.2, 2.40, 2.92, 71.60, 17.86, 11.27, 3.35, 4.95, 2.47, 4587, 2100000
Z12515, 125, 55, 51, 14.5, 1.5, 3.00, 3.66, 89.11, 22.61, 14.03, 4.25, 4.93, 2.48, 4587, 2100000
Z12519, 125, 55, 50, 15.5, 1.9, 3.75, 4.62, 111.14, 28.08, 17.43, 5.32, 4.90, 2.47, 4587, 2100000
Z12524, 125, 55, 50, 16.5, 2.4, 4.70, 5.85, 141.19, 35.35, 21.97, 6.73, 4.91, 2.46, 4587, 2100000
Z15012 ,150, 66, 61, 16.5, 1.2, 2.90, 3.55, 126.05, 31.91, 16.53, 4.98, 5.96, 3.00, 4587, 2100000
Z15019, 150, 66, 60, 17.5, 1.9, 4.52, 5.57, 195.09, 48.78, 25.50, 7.68, 5.92, 2.96, 4587, 2100000
Z15024, 150, 66, 60, 19.5, 2.4, 5.70, 7.07, 245.32, 63.23, 32.07, 10.00, 5.89, 2.99, 4587, 2100000
Z20015, 200, 79, 74, 15, 1.5, 4.49, 5.51, 340.82, 62.07, 33.62, 8.05, 7.87, 3.36, 4587, 2100000
Z20019, 200, 79, 73, 18.5, 1.9, 5.74, 7.05 ,434.32 ,82.88, 42.75, 10.82, 7.85, 3.43, 4587, 2100000
Z20024, 200, 79, 72, 21.5, 2.4, 7.24, 8.97, 548.08, 107.89, 53.81, 14.18, 7.82, 3.47, 4587, 2100000
Z25019, 250, 79, 73, 18, 1.9, 6.50, 7.98, 731.21, 81.85, 57.68,10.66, 9.57, 3.20, 4587, 2100000
Z25024, 250, 79, 72, 20, 2.4, 8.16, 10.10, 919.63, 104.08, 72.54, 13.64, 9.54, 3.21, 4587, 2100000
Z30024, 300, 100, 93, 27, 2.4, 10.10, 12.64, 1698.96, 231.89, 111.79, 23.85,11.59, 4.28, 4587, 2100000
Z30030, 300, 100, 93, 31, 3.0, 12.77, 15.96, 2134.81, 303.90, 140.47, 31.36, 11.57, 4.36, 4587, 2100000
